Items,PastVictim_Virus,PastVictim_DDoS,PastVictim_PerfTheft,PastVictim_APT,PastVictim_Sidechannel,PastVictim_Spam,PastVictim_CyBully,PastVictim_CyStalk,PastVictim_IDTheft,PastVictim_Ransomware,PastVictim_ShopScam,PastVictim_Scareware,PastVictim_Spyware,PastVictim_Phishing,PastVictim_Doxing,PastVictim_SocEng,PastVictim_SocMedHack,FutureVictim_Virus,FutureVictim_DDoS,FutureVictim_PerfTheft,FutureVictim_APT,FutureVictim_Sidechannel,FutureVictim_Spam,FutureVictim_CyBully,FutureVictim_CyStalk,FutureVictim_IDTheft,FutureVictim_Ransomware,FutureVictim_ShopScam,FutureVictim_Scareware,FutureVictim_Spyware,FutureVictim_Phishing,FutureVictim_Doxing,FutureVictim_SocEng,FutureVictim_SocMedHack
PastHelp_Family,0.09,0.09,0.0,0.07,0.08,0.2,0.11,0.11,0.07,0.1,0.0,0.0,0.09,0.0,0.1,0.1,0.09,0.21,0.18,0.14,0.15,0.18,0.23,0.1,0.12,0.15,0.19,0.17,0.13,0.19,0.23,0.15,0.15,0.21
PastHelp_Colleague,0.16,0.23,0.2,0.25,0.22,0.2,0.17,0.19,0.2,0.13,0.17,0.16,0.22,0.17,0.22,0.2,0.22,0.2,0.21,0.18,0.19,0.18,0.21,0.15,0.19,0.18,0.2,0.2,0.17,0.16,0.22,0.2,0.17,0.23
PastHelp_Self,0.12,0.12,0.12,0.11,0.1,0.08,0.13,0.1,0.08,0.0,0.09,0.1,0.18,0.1,0.13,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uses_AntivirusPC,0.0,-0.1,-0.11,-0.12,-0.16,0.0,-0.14,-0.14,-0.12,0.0,-0.09,-0.07,0.0,-0.08,-0.12,-0.1,-0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uses_AntivirusMobile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.08,0.1,0.12,0.14,0.17,0.0,0.07,0.1,0.11,0.0,0.0,0.14,0.0,0.0,0.09,0.12,0.1
Uses_BackupPC,0.11,0.12,0.15,0.16,0.14,0.0,0.07,0.1,0.11,0.14,0.1,0.14,0.18,0.18,0.13,0.16,0.15,0.08,0.13,0.15,0.2,0.19,0.0,0.16,0.19,0.12,0.11,0.12,0.17,0.11,0.15,0.19,0.2,0.13
Uses_BackupMobile,0.08,0.11,0.16,0.17,0.15,0.09,0.14,0.15,0.14,0.11,0.14,0.1,0.11,0.18,0.11,0.16,0.2,0.13,0.16,0.2,0.2,0.21,0.09,0.2,0.22,0.18,0.1,0.18,0.2,0.14,0.19,0.21,0.21,0.22
Uses_FirewallPC,0.0,0.0,0.0,-0.08,-0.12,0.0,-0.12,-0.08,-0.07,0.0,0.0,0.0,0.0,0.0,-0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uses_FirewallMobile,0.0,0.0,0.09,0.08,0.08,0.0,0.0,0.09,0.07,0.07,0.07,0.07,0.11,0.09,0.0,0.11,0.07,0.07,0.12,0.11,0.13,0.14,0.0,0.09,0.12,0.11,0.0,0.1,0.15,0.11,0.1,0.13,0.12,0.11
Uses_EncrMessenger,0.07,0.1,0.16,0.13,0.15,0.0,0.12,0.13,0.09,0.0,0.13,0.12,0.14,0.16,0.14,0.17,0.11,0.0,0.13,0.12,0.17,0.16,0.0,0.14,0.14,0.09,0.07,0.1,0.13,0.08,0.0,0.14,0.14,0.09
Uses_Spamfilter,0.0,-0.08,-0.1,-0.12,-0.12,0.1,0.0,0.0,-0.08,0.0,0.0,0.0,0.0,0.0,0.0,-0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.07
Uses_FileEncryption,0.12,0.17,0.2,0.21,0.22,0.0,0.15,0.17,0.16,0.14,0.14,0.2,0.21,0.17,0.16,0.18,0.17,0.07,0.13,0.15,0.21,0.15,0.0,0.19,0.2,0.1,0.1,0.14,0.19,0.12,0.12,0.2,0.17,0.11
Uses_MailEncryption,0.11,0.17,0.22,0.24,0.23,0.0,0.16,0.19,0.17,0.15,0.16,0.23,0.22,0.18,0.2,0.21,0.16,0.0,0.11,0.15,0.18,0.14,0.0,0.16,0.21,0.1,0.09,0.11,0.17,0.0,0.09,0.21,0.17,0.0
Uses_AnonService,0.13,0.19,0.24,0.24,0.22,0.0,0.2,0.2,0.15,0.16,0.16,0.18,0.24,0.18,0.23,0.23,0.15,0.0,0.11,0.15,0.16,0.15,0.0,0.14,0.17,0.0,0.09,0.08,0.11,0.0,0.0,0.16,0.11,0.07
Uses_VPN,0.16,0.18,0.2,0.17,0.14,0.07,0.16,0.17,0.16,0.14,0.14,0.19,0.23,0.16,0.18,0.22,0.19,0.0,0.13,0.17,0.19,0.16,0.0,0.12,0.16,0.1,0.1,0.13,0.16,0.12,0.08,0.15,0.11,0.1
Uses_PWManager,0.1,0.19,0.21,0.18,0.2,0.0,0.17,0.16,0.14,0.07,0.18,0.14,0.14,0.16,0.14,0.22,0.17,0.0,0.07,0.1,0.0,0.08,0.0,0.07,0.1,0.08,0.0,0.07,0.07,0.0,0.0,0.09,0.0,0.08
Uses_2FA,0.13,0.13,0.1,0.07,0.1,0.09,0.11,0.11,0.08,0.1,0.09,0.08,0.13,0.13,0.11,0.1,0.15,0.09,0.13,0.11,0.14,0.09,0.09,0.1,0.09,0.08,0.07,0.11,0.13,0.1,0.11,0.07,0.0,0.14
Uses_OSUpdates,0.0,-0.13,-0.14,-0.18,-0.18,0.0,-0.13,-0.1,-0.12,-0.07,-0.07,-0.16,0.0,-0.1,-0.14,-0.13,-0.1,0.0,0.0,0.0,0.0,0.0,0.08,-0.08,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uses_AppUpdates,0.0,0.0,0.0,-0.09,-0.07,0.08,0.0,0.0,0.0,0.0,0.0,-0.08,0.0,0.0,0.0,0.0,0.0,0.08,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.08,0.09,0.09,0.07,0.0,0.0,0.1
Uses_Camcover,0.09,0.08,0.11,0.09,0.14,0.0,0.07,0.0,0.07,0.08,0.0,0.0,0.12,0.14,0.09,0.12,0.0,0.07,0.12,0.13,0.15,0.19,0.0,0.08,0.11,0.08,0.12,0.0,0.1,0.1,0.08,0.09,0.1,0.08
Uses_PWChange,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.09,0.09,0.0
Uses_DriveBackup,0.07,0.08,0.1,0.11,0.1,0.0,0.07,0.08,0.09,0.09,0.0,0.0,0.12,0.12,0.13,0.14,0.11,0.0,0.1,0.12,0.13,0.12,0.0,0.1,0.12,0.1,0.08,0.07,0.1,0.0,0.07,0.12,0.1,0.08
Uses_CloudBackup,0.1,0.19,0.18,0.18,0.17,0.0,0.18,0.2,0.17,0.0,0.13,0.13,0.15,0.18,0.16,0.18,0.21,0.0,0.11,0.13,0.14,0.14,0.0,0.15,0.16,0.1,0.0,0.11,0.11,0.0,0.07,0.13,0.11,0.13
Uses_SafeSearchEng,0.14,0.23,0.29,0.3,0.3,0.0,0.25,0.24,0.2,0.09,0.14,0.19,0.22,0.22,0.28,0.28,0.14,0.0,0.13,0.18,0.19,0.21,0.0,0.19,0.19,0.09,0.07,0.11,0.15,0.0,0.0,0.17,0.13,0.0
PastInfo_School,0.15,0.3,0.3,0.32,0.27,0.08,0.25,0.25,0.23,0.12,0.2,0.23,0.23,0.2,0.29,0.31,0.22,0.16,0.22,0.22,0.22,0.2,0.13,0.19,0.2,0.18,0.18,0.19,0.19,0.16,0.18,0.21,0.17,0.19
PastInfo_Fam,0.18,0.21,0.23,0.22,0.19,0.11,0.2,0.17,0.14,0.12,0.15,0.15,0.21,0.2,0.19,0.19,0.16,0.18,0.2,0.18,0.19,0.19,0.11,0.16,0.17,0.17,0.19,0.17,0.14,0.16,0.19,0.2,0.2,0.2
PastInfo_Press,0.15,0.2,0.21,0.2,0.15,0.0,0.13,0.17,0.0,0.12,0.12,0.14,0.2,0.15,0.17,0.17,0.13,0.15,0.19,0.16,0.19,0.19,0.09,0.14,0.14,0.13,0.15,0.13,0.16,0.12,0.15,0.15,0.15,0.14
PastInfo_Publication,0.18,0.32,0.33,0.33,0.28,0.0,0.2,0.24,0.18,0.14,0.16,0.2,0.27,0.2,0.28,0.29,0.18,0.07,0.2,0.2,0.24,0.23,0.0,0.19,0.2,0.12,0.12,0.13,0.19,0.11,0.1,0.18,0.16,0.1
PastInfo_TV,0.08,0.14,0.2,0.18,0.12,0.0,0.08,0.09,0.0,0.07,0.09,0.14,0.09,0.1,0.1,0.14,0.13,0.08,0.13,0.1,0.14,0.13,0.0,0.0,0.0,0.08,0.09,0.07,0.11,0.0,0.07,0.09,0.13,0.1
PastInfo_Radio,0.13,0.2,0.26,0.23,0.21,0.0,0.12,0.17,0.11,0.13,0.12,0.18,0.15,0.17,0.17,0.2,0.19,0.0,0.08,0.13,0.16,0.13,0.0,0.08,0.13,0.0,0.09,0.0,0.09,0.0,0.07,0.1,0.11,0.09
PastInfo_SecAgencySites,0.17,0.26,0.36,0.36,0.34,-0.07,0.23,0.24,0.21,0.09,0.17,0.25,0.28,0.23,0.26,0.29,0.16,0.0,0.12,0.17,0.21,0.15,-0.1,0.12,0.15,0.09,0.07,0.1,0.13,0.0,0.0,0.13,0.09,0.0
